,artist_id,artist_name,artist_popularity,artist_followers,primary_genre
0,6G1yTgvoYsuVb2Ja8cVVJ2,anders,58,116533,canadian contemporary r&b
1,6TrQLQR8tUluPbmdPy6jqY,ELHAE,54,169183,alternative r&b
2,1A9o3Ljt67pFZ89YtPPL5X,Snoh Aalegra,72,643620,alternative r&b
3,07UJz804RJxqNvxFXC3h9H,Sam Gellaitry,49,80959,electronic trap
4,3CE8Ux0j4kdaWpqCssKnVA,TEK.LUN,33,18303,future bass
5,36UnfzYd835ufc9ajoT9Kk,DrewsThatDude,27,6807,future bass
6,6iWuBN32BqCJAeXW6o3nil,Cautious Clay,64,186300,alternative r&b
7,0fTav4sBLmYOAzKuJw0grL,Mac Ayres,64,417836,alternative r&b
8,2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,80,5064962,kentucky hip hop
9,0cGUm45nv7Z6M6qdXYQGTX,Kehlani,80,4973772,dance pop
10,3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,80,1767623,dmv rap
11,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,79,3179528,pop
12,7e3FtKBIPLrIVm8g1FJMVg,Sango,55,166513,abstract beats
13,37nE9g0LRDhDSIejDuPKPS,Evil Needle,46,33617,chillhop
14,4KZmpaIhanIo46eaQimtgO,ESTA.,41,36343,vapor twitch
15,3fcW2V4zOfFm0IsWCJUuzz,Zilo,42,22125,alternative r&b
16,5PcwbyuOX1pnaeVYatEEB2,Dilip,47,7173,phonk
17,4S3cwLP8haGAdlqyza3GZ3,Otxhello,37,4849,lo-fi beats
18,23zg3TcAtWQy7J6upgbUnj,Usher,83,8982647,atl hip hop
19,3GQboECxDT1xqPPWC30p7v,Charlotte Day Wilson,63,165745,alternative r&b
20,6qgnBH6iDM91ipVXv28OMu,KAYTRANADA,71,878806,escape room
21,5qKCgbxBDmDc9Ckgmt4EaN,Sinjin Hawke,33,19304,bass music
22,5FdZDr2bMbEcnsEKRgO3rn,Phabo,49,6286,alternative r&b
23,78xUyw6FkVZrRAtziFdtdu,The Roots,65,1084246,alternative hip hop
24,4HzKw8XcD0piJmDrrPRCYk,Majid Jordan,69,622205,alternative r&b
25,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,86,19802155,alternative metal
26,2I9SLklAOG0vdMiUUMNxRl,88GLAM,59,380031,canadian hip hop
27,12trz2INGglrKMzLmg0y2C,Emotional Oranges,62,187451,alternative r&b
28,2DLlb2Se6eF0mMTYffyAcn,IAMNOBODI,44,38604,alternative r&b
29,7r8RF1tN2A4CiGEplkp1oP,Ginuwine,69,1937285,dance pop
30,0Ek89uaJyo6NfWK22awFvI,VanJess,61,121260,alternative r&b
31,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,91,7181303,brooklyn drill
32,0IVapwlnM3dEOiMsHXsghT,Nosaj Thing,51,184633,bass music
33,1crlEwxm5dcQjCcgCJEyqg,Abhi//Dijon,41,41369,alternative r&b
34,57LYzLEk2LcFghVwuWbcuS,Summer Walker,78,2556803,pop
35,5lDtfHPqWN6MG9tFywnW8J,Kiefer,51,64345,indie jazz
36,2ICR2m4hOBPhaYiZB3rnLW,Sonder,65,284238,alternative r&b
37,7fNI5DhplKeFCErRvzRCVO,Mack Keane,37,4416,alternative r&b
38,5YZ5AExR68U3ZblH6HcO6B,Leven Kali,58,133760,alternative r&b
39,7e1ICztHM2Sc4JNLxeMXYl,dvsn,69,995856,alternative r&b
40,7IfculRW2WXyzNQ8djX8WX,Erykah Badu,69,2187333,afrofuturism
41,5XenQ7XfcvQdfIbpLEFaKQ,GoldLink,71,746843,alternative r&b
42,10JL2s5aUztzFyURrFrxtL,Louke Man,24,827,
43,6u3PN3PCsWLGsw1OffKQ2F,Lou Val,44,25735,alternative r&b
44,1uiEZYehlNivdK3iQyAbye,Tom Misch,72,913120,indie soul
45,3QTDHixorJelOLxoxcjqGx,SiR,67,574041,alternative r&b
46,24Cf1irKt7kcewb9OOkPum,Joyce Wrice,55,94262,alternative r&b
47,4OHaWpWPKDcZgOOUn9elFn,Mr. Carmack,46,79276,electronic trap
48,4IVAbR2w4JJNJDDRFP3E83,6LACK,81,3099949,alternative r&b
49,5KNqYrivNgVCHBssEUSu5B,Donell Jones,59,888150,hip hop
